,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
0,Mikaelarca,,Venezuela,417,40,3831,2441,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 02:25:39+00:00
1,SebasRigger1011,"La democracia no perdura, cuando se escribe con la izquierda...",,1769,1191,66680,6,#EleccionesColombia | La sencilla celebración de Rodolfo Hernández tras pasar a segunda vuelta | #ColombiaVota2022 | #PetroORodolfo https://t.co/rC387ryXOc,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:25:35+00:00
2,MelgarejoJulie2,Universidad Distrital ❤️,,414,134,2524,5,"Abrimos hilo ⬇️🧵
A propósito de la situación y el momento electoral que como país vivimos queremos compartir algunas apreciaciones y a partir de ello aportar un grano de arena a la larga y necesaria discusión que deja la primera vuelta presidencial. #EleccionesColombia",[],2022-05-31 02:25:30+00:00
3,GalardonJ,"Ingeniera Industrial / MBA Columbia University / madre, esposa, mujer trabajadora / Comprometida con Colombia 🇨🇴 ¡Lectora!",Colombia,2801,1091,10873,45,"Rodolfo Hernández suele usar palabras explícitas y llamar “ladrones” y corruptos a sus contrincantes. El constructor millonario y exalcalde de Bucaramanga ha utilizado expresiones machistas y contra los migrantes. Este es un compilado

#EleccionesColombia https://t.co/UnM9SUtoGY",[],2022-05-31 02:25:21+00:00
4,Susan45078485,,,132,105,7452,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:25:21+00:00
5,ArleyBetancour6,"El gimnosofista es un sabio desnudo a nivel etimológico. Se trata de un individuo que busca la sabiduría, que tiene pensamiento crítico, que es creativo y libre",,6994,7092,83389,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:25:14+00:00
6,MARIPOSADESOL,"Naci en Valledupar, César Colombia",VALLEDUPAR CESAR COLOMBIA,198,8,105,1,"Colombianos mirando con optimismo la 2da vuelta presidencial. 

#CaricaturaPolitica #EleccionesColombia https://t.co/VGrVLQM9jZ","['CaricaturaPolitica', 'EleccionesColombia']",2022-05-31 02:25:12+00:00
7,Jannerrodrigue6,progresista amante de la SALSA Y LA NATURALEZAtengo mi teléfono pago mis datos puedo escribir lo que quiera💪💪💪,,1902,757,5373,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:25:10+00:00
8,cjhernandezo,,,213,70,20609,2441,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 02:25:05+00:00
9,jecastaneda08,"ingeniero de Sistemas, Boyacense, amante del ejercicio, la buena comida y en contra de las injusticias","Bogotá, D.C., Colombia",798,590,28889,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:25:05+00:00
10,Pas19417850,Amigos,,225,41,4984,15,Sin tapujos: la entrevista de Rodolfo Hernández en ‘Soho’ en su apartamento de 4.300 millones | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/7CrlqwaMCn,['EleccionesColombia'],2022-05-31 02:25:03+00:00
11,Aldeana67944701,PetroPresidente2022 PetroYFranciaSonElCambio PetroPresidenteEnPrimera,,8226,7572,199931,8,"Está claro que al uribismo lo único que busca es la impunidad de Álvaro Uribe @AlvaroUribeVel y eso lo pueden conseguir es con Rodolfo Hernández...ellos saben que con @petrogustavo no lo van a conseguir.
#LaPrimeraVueltaFue 
#EleccionesColombia",[],2022-05-31 02:25:00+00:00
12,mangela99,,,220,375,40941,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:24:50+00:00
13,Pas19417850,Amigos,,225,41,4984,38,"#EleccionesColombia | Marelen Castillo, la ficha decisiva en la campaña de Rodolfo Hernández | #ColombiaVota2022 | #PetroORodolfo https://t.co/enJBKdwgnN","['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:24:48+00:00
14,team_tamayo,"Que Chimba Parce👊🏻
El parcero más chimba🤩
❤@sebastiantaaven                                   

Equipo Sebas ➡️@teamsebastamayo Sigue a: @fandomofisebast",,27,36,138,1436,"#LaPrimeraVueltaFue al parecer un robo, boletines q informan en lo medios desde la app de la Registraduría presuntamente no contenían la información real, fuente de la entidad denuncia en el vídeo. Rodolfo NO tiene 5' de votos @petrogustavo @GustavoBolivar 
#EleccionesColombia https://t.co/kv11f2b587",['LaPrimeraVueltaFue'],2022-05-31 02:24:44+00:00
15,Santacruz1Diego,,,578,120,7560,6,#EleccionesColombia | La sencilla celebración de Rodolfo Hernández tras pasar a segunda vuelta | #ColombiaVota2022 | #PetroORodolfo https://t.co/rC387ryXOc,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:24:40+00:00
16,JuanEnr96472071,Petrista 💯 y antiuribista 💯💪,"Funza, Colombia",555,286,1744,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:24:39+00:00
17,pe43122188,,,86,7,1154,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 02:24:38+00:00
18,KatyCifuentes,En espera de un nuevo amanecer,"Valle del Cauca, Colombia",628,509,2829,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:24:34+00:00
19,bcastrig,No hagas a otros lo que no quieras que te hagan a ti,"Armenia, Quindío, Colombia",1193,1019,31061,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:24:31+00:00
20,jkbrice,Hijo de Dios | Feliz Padre y Esposo | Administrador de Empresas | Apasionado por impulsar la Economía Circular | Colombiano | 中国商务专家,"Bogotá, Colombia",253,161,1709,10,"Primera toma de temperatura 🌡  a los mercados muestra que ven ganando a @ingrodolfohdez en segunda vuelta lo que genera algo tranquilidad inicialmente a los mercados de dólar 💵 en Colombia 🇨🇴 

#EleccionesColombia #ColombiaDecide https://t.co/sIQH6h7nh5",[],2022-05-31 02:24:28+00:00
21,dianalizethp,"In medio stat virtus... 🤲🏻
La dignidad no se negocia.

📡🛰️🗼 Ingeniera Electrónica

🏠 Ibagué
📍🏠 Bogotá","Bogotá, D.C., Colombia",1570,1532,40563,54,"Sergio Fajardo: “Tenemos que saber perder y entender que no fuimos escogidos”
https://t.co/zl47p5H7c4

#EleccionesColombia https://t.co/yPkP431FtH",[],2022-05-31 02:24:23+00:00
22,1965Saw,"El socialismo es la filosofía del fracaso, el credo a la ignorancia y la prédica a la envidia; su virtud inherente es la distribución igualitaria de la miseria.",,806,853,67562,7,"Después de que @ISAZULETA acabara la imagen de @sergio_fajardo con esa campaña sucia que lo dejó quemado… ahora le están rogando que apoye a ese Pacto Criminal

#EleccionesColombia",[],2022-05-31 02:24:18+00:00
23,AIRUIZCOM,Josue 1:8 Ingeniero Electricista Universidad de Antioquia. @udea,"Medellin, Colombia",621,186,9011,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:24:15+00:00
24,_pelietas_,A veces me aburro y busco pelea en twitter 🤡,,13,1,319,0,"El mood de este puente de #EleccionesColombia 
Procedo a hibernar hasta el 19 de junio. https://t.co/BhnFBhx6LU",['EleccionesColombia'],2022-05-31 02:24:09+00:00
25,TKDeutschland,ɥᴐ𝖘ı̣ʇ𝖘ı̣ןןⱻʌɐı̣ɥᴐɐꟺ,,164,102,3263,50,"¿Por quién votará en segunda vuelta? 

🔁 Gustavo Petro @petrogustavo 
💙 Rodolfo Hernández @ingrodolfohdez 

#ColombiaDecide #EleccionesColombia https://t.co/vNEy0P7JIe",[],2022-05-31 02:24:09+00:00
26,Wendagovil14,Soy lo que no se vuelve a encontrar dos veces en la vida  🥂,"Cartagena, Colombia",338,296,1095,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:24:09+00:00
27,AndrespradaM,,,403,273,5109,0,"Los del “cambio”quieren poner en el poder a un ex guerrillero, + los corruptos de Benedetti, Roy, Piedad y la cantidad de parapoliticos que se adhirieron a su campaña con los criminales de “La Gata” #EleccionesColombia #Elecciones2022 #segundavuelta https://t.co/jPQkCR56yp","['EleccionesColombia', 'Elecciones2022', 'segundavuelta']",2022-05-31 02:24:03+00:00
28,YamidRodriguezM,"|Abogado, Experto Cert. Técnicas de Juicio Oral|Voz RCN Radio por 26 años
 [ Opiniones Personales ] CANAL de #Youtube SUSCRÍBETE 👇 https://t.co/qPCE8qXFE5",Colombia,9373,8775,108885,0,"Y no es ""Antipetrismo"", es que necesita los votos del uribismo para ganar, y no son ""ciudadanías libres"". Son votos de la derecha incauta que bajo el discurso de la NEGACIÓN pretenden continuar en el poder. 

Sumado a que no tiene Congreso y deberá NEGOCIAR. 
#EleccionesColombia https://t.co/eUggOSDuLM",['EleccionesColombia'],2022-05-31 02:23:46+00:00
29,Cathy18614918,#NoMasPetro con eso les digo todo!!!!!,,492,407,12066,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:23:41+00:00
30,fajardohuila,"Candidato #CoaliciónCentroEsperanza. 
 Excandidato presidencial 2018.  
Gobernador de Antioquia 2012-2015.
 Alcalde de Medellín 2004-2007.",Huila-Colombia,643,347,5044,54,"Sergio Fajardo: “Tenemos que saber perder y entender que no fuimos escogidos”
https://t.co/zl47p5H7c4

#EleccionesColombia https://t.co/yPkP431FtH",[],2022-05-31 02:23:36+00:00
31,dhjonathan,"#Bitcoin 
Musico,Actor,Presentador, Canta-Autor, Amo mantenerme en Completa Inspiración.
PNL | PALACIO JooTHaX #ColMundial","Medellín, Colombia",342,215,3288,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 02:23:27+00:00
32,jjflorezg,,,1610,636,828,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:23:17+00:00
33,crisarango80,,"Medellín, Colombia",445,149,4818,6,#EleccionesColombia | La sencilla celebración de Rodolfo Hernández tras pasar a segunda vuelta | #ColombiaVota2022 | #PetroORodolfo https://t.co/rC387ryXOc,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:23:06+00:00
34,ferlond,,,1400,822,47930,42,"Esto es fácil:

Gustavo Petro no tiene cómo crecer en 2da vuelta, empezarán una campaña de indignación para que no apoyemos a Rodolfo Hernández y nos abstengamos a votar. No caeremos en la trampa. 

 #EleccionesColombia",[],2022-05-31 02:23:04+00:00
35,MiguelChasoy,"CREE en lo imposible, CREA para hacerlo visible.⭐️ Tu único límite es tu mente. ♥️","Medellín, Colombia",1294,3150,165522,481,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 02:22:59+00:00
36,fajardohuila,"Candidato #CoaliciónCentroEsperanza. 
 Excandidato presidencial 2018.  
Gobernador de Antioquia 2012-2015.
 Alcalde de Medellín 2004-2007.",Huila-Colombia,643,347,5044,19,“La política tradicional ha sido derrotada”: Carlos Amaya | #EleccionesColombia #ColombiaVota2022   https://t.co/48GR05Q1UP,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:22:57+00:00
37,mapuvi13,,Colombia,51,159,566,35,“Alístese para dentro de cuatro años”: el mensaje de Mario Hernández a Fico Gutiérrez | #EleccionesColombia #ColombiaVota2022   https://t.co/EqVx37E0hc,['EleccionesColombia'],2022-05-31 02:22:55+00:00
38,marianela_m_m,Opositora 100%,Cabimas-Edo Zulia,1229,366,15224,2441,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 02:22:54+00:00
39,miangelfue,"No soy comunista es Asco al Uribismo. Felíz
Antiuribista.
Amante de la Salsita. Creo en un mejor país.  
Detesto la Guerra. La maldad se mide en URIBES.",,851,1034,55374,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:22:47+00:00
40,difehor,,,3273,1108,50458,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:22:34+00:00
41,antipetronero6,Antipetrista 1000%,,2482,1386,7722,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:22:33+00:00
42,wonangel_l,✰ 23 ✰ aries ✰ i used to be a kpop stan ✰ genshin impact ✰ i cry a lot ✰,,89,112,7949,0,"trabajar como modelo webcam y votar por Rodolfo Hernández es la incoherencia más estúpida que puede haber, por fa alguien que se lo diga a mi compañera, por qué a mí no me escucha. #EleccionesColombia",['EleccionesColombia'],2022-05-31 02:22:32+00:00
43,gemiliopp48,"Ing Civil, Dos Hijas y Dos Ángeles en el Cielo, Creo en Dios y el Trabajo... Cuenta Alternativa. La pricipal fue cerrada sin explicaciones por @Twitter","Coro, Venezuela",45,47,3820,0,#Colombia está como #Marte: entre #Fobos y #Deimos... #EleccionesColombia,"['Colombia', 'Marte', 'Fobos', 'Deimos', 'EleccionesColombia']",2022-05-31 02:22:32+00:00
44,martingarciada6,"Soy actor, cantante, hago lo que quiero.",,3703,1957,26605,230,"🇨🇴 MISIÓN DE OBSERVACIÓN INTERNACIONAL 🗳

🔎 Foro Madrid ha conformado una misión de 14 parlamentarios y expertos de 10 países para observar las elecciones presidenciales en Colombia el próximo domingo.

Estaremos presentes en Santa Marta, Cali y Bogotá.

#EleccionesColombia https://t.co/wLAkeFRY3M",[],2022-05-31 02:22:29+00:00
45,j_lopez70,"Secretario General de la Junta Directiva Nacional de SINTRACARBON.

Concejal de Villanueva ( La Guajira) 2020-2023.

Abogado. Especialista en Derechos Humanos.",,340,640,8549,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:22:26+00:00
46,maritza_galvis,"Ingeniera de Sistemas, Especialista en Administración de empresas y MBA de la U. de los Andes. Apasionada por la ética, valores, transparencia y verdad.",,1334,1413,34431,39,"Recuerden que el 13 de marzo al Pacto Histórico le robaron casi 1 millón de votos, ¿Quién nos garantiza que ayer no le robaron nuevamente esa cantidad o más?. #EleccionesColombia https://t.co/gE22eMy8se",[],2022-05-31 02:22:22+00:00
47,20Wilsongarcia,"Vivo la vida intensamente, un día a la vez, con actitud de servicio, porque
nunca es demasiado tarde para dar la mano a una persona que lo requiere.","Maicao, La Guajira",29588,25740,75160,481,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 02:22:17+00:00
48,Khassir,,,4309,4186,138029,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:22:15+00:00
49,angiemontemu,,Avenida Siempreviva 742,188,162,1980,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:22:13+00:00
50,mapuvi13,,Colombia,51,159,566,642,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/nPLRTod3ap,['EleccionesColombia'],2022-05-31 02:22:10+00:00
51,Andresyaya24,La vida es ..  solo eso,,2510,1336,112696,12,"Vea, pongámonos de acuerdo cómo país en no permitir la continuidad del confort y autoritarismo clasista, misógino, racista y militarista al Establecimiento que hoy se quiere esconder en los discursos ambivalentes del ingeniero. 

#SegundaVuelta
#EleccionesColombia https://t.co/hvXpeOOkUL",[],2022-05-31 02:22:08+00:00
52,XimenaCanoe,,,163,100,5751,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:21:53+00:00
53,Fonnegramorales,💯 URIBISTA 💯➡️,,455,412,23156,86,"Enrique Gómez: “Si Gustavo Petro llega a la presidencia, no la soltará nunca” | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/CwOXWOB9Gu","['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:21:51+00:00
54,ALFREDO57073637,,,1237,775,13969,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:21:45+00:00
55,jazminlond,Dios primero || De derecha || El respeto como principio de civilización || 🌐,Colombia  🇨🇴,382,578,98297,2,"No olviden que todos los periodistas de Colombia son propagandistas,detrás de sus opiniones siempre hay plata...#EleccionesColombia",[],2022-05-31 02:21:43+00:00
56,Carlos23claros,,,110,43,124,2441,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 02:21:42+00:00
57,anasankk,"Dios mi gran amor! Abogada, esposa, madre! Por un pais mejor!",,1071,471,23892,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:21:38+00:00
58,JuanMOquendoL,Otro rolo en Antioquia - Ing Electrónico @UNALOficial - Especialista infraestructura T.I. - Arquitecto de soluciones #Java #Android - Músico a ratos,"Orgrimar, Kalimdor",500,228,2843,0,"Hay 3 cosas que me dan el voto por un candidato: propuestas, talante y experiencia.  Petro tiene las 3. #ElCambioEnSegunda #EleccionesColombia #FirmesConPetro","['ElCambioEnSegunda', 'EleccionesColombia', 'FirmesConPetro']",2022-05-31 02:21:28+00:00
59,fresita410,"“Al igual que todos los demás lo vi pasar por la calle y lo salude. Eso no nos hace amigos, ¿verdad?""",,1574,1297,131627,228,"Felicitaciones al @ingrodolfohdez en su impresionante elección. Usted es un industrial, señor Hernández. Piense en 🇨🇴 como si fuera su empresa. Por favor no vaya a hacer nada que la ponga en riesgo #CualquieraMenosPetro #EleccionesColombia #EleccionesColombia2022",[],2022-05-31 02:21:28+00:00
60,Launas7,"Decisión, convicción y servicio para motivar el cambio",,25,8,623,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 02:21:27+00:00
61,JuanMedinaMunoz,,,403,139,2983,1436,"#LaPrimeraVueltaFue al parecer un robo, boletines q informan en lo medios desde la app de la Registraduría presuntamente no contenían la información real, fuente de la entidad denuncia en el vídeo. Rodolfo NO tiene 5' de votos @petrogustavo @GustavoBolivar 
#EleccionesColombia https://t.co/kv11f2b587",['LaPrimeraVueltaFue'],2022-05-31 02:21:20+00:00
62,Olgallego,"Orgullosamente del CENTRO DEMOCRÁTICO. Solo DERECHA, nada con la izquierda. Apoyo a Álvaro Uribe y a Federico Gutiérrez.
#UribistaSigueUribista
#FicoPresidente","Medellín, Colombia",7336,10448,126270,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:21:14+00:00
63,MIiLuzMa,,Bogota Colombia,743,123,13567,62,#EleccionesColombia | “Un país del que nadie se quiera ir”: Rodolfo Hernández tras seguir a segunda vuelta | #ColombiaVota2022 | #PetroORodolfo https://t.co/bTeFyIgpSk,['EleccionesColombia'],2022-05-31 02:21:14+00:00
64,AidaAlcaya,"Bonita por herencia, cabrona por experiencia.",Hermosillo,1913,1157,21,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
65,AlbaPerezzor,"No me gusta la gente que hace lo que sea por dinero.

Soy empática, pero no abuses.",Hermosillo,1552,1202,16,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
66,AnaYzaguirreZ,Te deseo el triple de lo que me desees a mi. 💜,Hermosillo,1660,1338,22,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
67,LuzBacoG,Tan lindo Sonora y tan fea la gobernadora que se gastó 2 millones de dólares en la boda de su hijita y nadie en la cárcel :(,Hermosillo,1581,1290,15,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
68,AlonaLopezOs,"La cosa con la verdad es que cada quién quiere la suya

Soy complicada, pero estoy trabajando para no serlo.",Hermosillo,1875,1431,18,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
69,AbduliaFuentes,"Me gustaría ser tan bonita, qué pueda decir lo que sea twitter y no generar hate.",Sonora,1718,1391,18,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
70,AnaVictorinox,"Porque la derecha oprime y la izquierda libera, #Obradorista.",Sonora,1615,1304,16,10,"Quién fue más sanguinario, @AlvaroUribeVel de Colmbia o @FelipeCalderon de México?

#PetroPresidenteEnPrimera #ColombiaConPetro #EleccionesColombia #ElCambioEnPrimera #ColombiaConPetro #YoVotoPetroPresidente

*Vamos Petrosky! Obviosky! :`) https://t.co/q7xq3pIzEG",['PetroPresidenteEnPrimera'],2022-05-31 02:20:44+00:00
